id,FalseSent,OptionA,OptionB,OptionC
sentence_27,He read a very long window King Tut.,"Books have pages and words to read, while windows do not and serve a different purpose.",Glass windows were invented after King Tut was born.,"Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot."
sentence_28,He lost his phone in the mouth of a griffin.,A griffin would find that metal of a phone disgusting and not want to eat it.,A griffin always shares what it eats with it's baby griffins.,A griffin is a mythical creature that does not exist.
sentence_29,he kept a chair inside the fridge,fridge store vegetables and fruits,chair is bigger than the fridge,chair used to sit
sentence_30,I use internet on my radio,We get signal on a radio,Radio is a great mode of communication,Internet can not be used on a radio
sentence_31,She drove her children to the moon.,Children can't breathe on the moon.,The moon has no swing sets.,The moon is not reachable by car.
sentence_32,She parachuted into the grocery store from a plane.,"If you jumped from a plane to get groceries, you would have no way to get them home.",It's difficult to park a plane in a grocery store parking lot.,Grocery stores do not carry parachutes.
sentence_33,The fish swam in the desert.,Fish do not take vacations to the desert.,"Fish swim in water that is blue or green, while a desert is yellow sand","A desert has no water, so a fish could not swim there."
sentence_34,There was a dead ice creature walking in the snow.,Dead ice creatures do not walk on ice.,Dead ice creatures do not walk.,Dead ice creatures do not exist.
sentence_35,I swim under a tap,Tap a good source of water,Tap water is generally used to take bath,There are not enough water under a tap to swim
sentence_36,A person eats mountains,A mountain is much bigger than a person,Mountains are usually cold while a person is usually hot,Mountains cannot eat a person
sentence_37,Jane saw a giraffe in her purse.,A purse is too small for a giraffe to be in.,The giraffe's body pattern clashes with her purple leather purse.,Jane's dad does not allow her to have pets.
sentence_38,We use book to know the time,A book and a clock is very essential in our daily life,A book is used to study,A book plays a very important role in our life
sentence_39,I was playing basketball with a rock,"You need a bouncing objet for playing basketball, and a rock does not bounce",Rock are usually opaque and the ball is orange,People really love to watch NBA
sentence_40,Mary took her moth for a walk,moths like flying towards the light,it is unusual to keep a moth as a pet,somebody stepped on the moth and crushed it
sentence_41,I like to listen colours as I commute,Colours are not usually easy to find in dark,You should not run as you commute,Colours cannot being listened
sentence_42,I run in the air,We can travel using both air and the ground,Walking is not possible in the air,Birds fly in the air
sentence_43,There was a blonde woman riding a dragon.,Blond women don't ride dragons.,Usually women don't ride dragons.,Dragons do not exist.
sentence_44,He ate the book,Book does not taste good,He does not like book,Book is not a food
sentence_45,Jake ate artificial mango,Mango are sweet but bitter too,Human can't eat artificial made fruits,Mango cannot eat jack
sentence_46,Baby is taking dictionary,Dictionary is colour full,It is too heavy,Dictionary can not  take a baby
sentence_47,the school was open for summer,summertime is typically vacation time for school,the temperature outside is too hot to learn in the summer,schools wait until the first leaf falls in autumn to open
sentence_48,The chocolate cried,Chocolate is a melting solid therefore cannot cry,The chocolate has no eyes to cry,The chocolate was too cold
sentence_49,There are barbecues in the middle of a television program,barbecues can be shown in commercials,barbecues and commercials are sold to us,barbecues are a physical object not like commercials
sentence_50,You never puke after getting drunk,We all puke without alcohol,Too much alcohol in our organism makes us puke,There are drinks with no alcohol
sentence_51,You can use a jellyfish to hold checks.,A jellyfish is a sea creature not intended to hold anything.,Jellyfish are soft and checks are made of paper.,Jellyfish don't eat checks.
sentence_52,Lawyers are people who play characters in television or theatre,many lawyers do not have time to watch the television,lawyers are people who provide legal aid,some characters in television or theatre are lawyers
sentence_53,A small dog is called a kitten,kittens are smaller than dogs,a kitten cannot eat dog food,a kitten is a small cat
sentence_54,My daughter always takes bath in a kitchen sink and avoids bath tub,Tap in kitchen sink can be used to wash anything,Kitchen sink is not big enough to take bath in it,Most kitchens are fit with both hot and cold water taps
sentence_55,He killed him with a programming language,Programming language is not a weapon,Programming languages are dangerous,He does not like programming language
sentence_56,The cinema shared popcorn with them,You can't share food with an establishment,popcorn is for feeding chickens,popcorn is only fictional
sentence_57,Rotten food smells nice.,Rotten food does not wash itself and so it smells bad.,Rotten food can not use deodorant and so it smells nasty.,Rotten food is decomposing and producing toxic smelly gasses.
sentence_58,An actor wear a toaster.,Toasters are not in fashion.,Toasters are not clothing,Toasters are too hot while costumes are not.
sentence_59,The man slept on the volcano.,Beds are generally comfortable while volcanoes cause destruction.,A volcano is much larger than a bed.,The bed cannot be on the volcano.
sentence_60,She spoke to a ghost at the door.,Ghosts are white while the doors are yellow.,Ghosts don't exist.,Ghosts can't talk to the living.
sentence_61,You will never see a teacher inside of a school.,Teachers are legally required to always be inside of a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,Teachers live inside of schools and have their own homes that they stay in inside of the school
sentence_62,She cuts a pizza with an advertising board.,Advertising signs are usually square while the pizzas are round.,An advertising board cannot eat a pizza.,An advertising board is much larger than a pizza.
sentence_63,They built the sun,The sun is a natural object created from space,The sun is bigger than the house,The sun causes people to wear sunscreen at the beach
sentence_64,There was a chicken flying.,Chickens prefer to stay on the floor.,Chickens do not fly.,It is not common to see chickens flying.
sentence_65,He played the cow very well,Cows are not vehicles,Cows are not musical instruments,Cows are not sentient
sentence_66,You are still alive if you do not have a heartbeat.,All humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,People that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.
sentence_67,the trampoline jumped on him,a trampoline is not sentient and cannot jump,trampolines can say how high to jump,the man is a trampoline
sentence_68,Georgia Tech trains dragons,Dragons are not a creature that exists,Dragons are too big for the buildings at Georgia Tech.,Dragons have more tails than people do.
sentence_69,She was going to school in a lunch box,Lunch box is a container to carry food,Lunch box is in blue color and she does not like blue color,The lunch box was full
sentence_70,The moon gets fixed and that's how it returns to full,The moon is big enough to hide all sunlight from Earth because the sun and it's shapes,The sides of the moon are made of cheese and can be eaten,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us"
sentence_71,You are cooking the music,I like cooking elaborated recipes,Music should be maintained at a decent volume to not to disturb the neighbors,Music is not cookable
sentence_72,The storage in every computer is unlimited.,A computer gets tired when there are too many files so storage is not unlimited.,Computers are small and files are big so a computer can only fit a small amount of files.,A computer has limited space in a hard-rive so the storage cannot be unlimited.
sentence_73,People only cry when they are angry.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,It is impossible to cry when you are angry.,No one has ever cried when they are angry.
sentence_74,Most people like to have hamburgers and pudding in the morning.,Hamburgers frequently have lettuce on them and pudding is often chocolate flavored.,Hamburgers and pudding both contain carbohydrates.,"Hamburgers are a lunch or dinner food, and pudding is a dessert."
sentence_75,Frank hit Will with a pillow causing him pain,A pillow is bigger than a stone,A pillow is softer than a stone and does not cause injuries,A pillow and a stone can be white
sentence_76,he shaved his teeth,it's illegal to shave teeth,there is no hair on teeth,teeth are not accessible enough to be shaved
sentence_77,She put mustard on a star.,People pay money to name different stars.,Clouds make it hard to see stars in the sky.,A star is too far away for someone to but a condiment on.
sentence_78,He was playing fridge,Fridge is a tool and is not a musical instrument,He does not know fridge,Fridge is in gray color
sentence_79,A person is not allowed to visit their relatives.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",It is legally required of you to visit your relatives.,You are looked down upon if you do not visit relative and shamed upon.
sentence_80,Tight shoes are comfortable.,Tight shoes make walking unbearable.,Some people like shoes to be extremely tight.,Tight shoes can be worn for many hours.
sentence_81,Low blood pressure is a hazardous way to diet and lose weight.,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.
sentence_82,Plants can make computers,"Plants are all over the world, while computers are only in developed countries",Computers are not organic products and are made by humans,"Animals eat plants, but not computers"
sentence_83,My friend like to eat electronic goods.,No one can digest electronic goods.,Electronic goods are very small now a days to eat.,Electronic goods may cause shock while eating.
sentence_84,Europe is in france,Europe is a continent but france is a country,france is not european,europe is not a french country
sentence_85,The babies birthday is the day their parents met.,Birthdays are happy days and the day of birth is happier than the day of parents meeting.,Birthdays must refer to the days and most parents meet at night time,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.
sentence_86,A sheep shops at Walmart,Sheep would see how the wool is used in the stores,Sheep only eat grass but Walmart sells meat,Walmart is a store for persons not animals
sentence_87,You can not get drunk from alcohol.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",It is impossible to stay sober if you drink even one drop of alcohol.,Alcohol is poisonous and by drinking it you imminently become intoxicated.
sentence_88,The fire hydrant shot a bullet,Fire hydrants do not have firing mechanisms,Guns are older than fire hydrants,Fire hydrants do not have an amendment protecting them
sentence_89,A forest is an area covered with snow,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant","snow is white, and the forest is green","snow melts, but the forest does not"
sentence_90,The grass is singing.,Lots of animals eat grass.,Water helps grass grow.,Grass does not have voice or mouth to make noise.
sentence_91,She cut the meat with a fridge.,Refrigerators are iron while meats are red.,A refrigerator is much larger than a meat.,A refrigerator cannot use knives.
sentence_92,The whale swims in a bathtub.,The whale is much larger than a bathtub.,The whales are usually gray while the tubs are usually white.,The bathtub cannot swim in the whale.
sentence_93,A boxer would never punch in a boxing match.,Boxers will be arrested if they punch someone.,Boxers are very nice people and hate all types of violence.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.
sentence_94,There was a person drinking sulfuric acid.,People do not drink sulfuric acid because it would kill them.,Sulfuric acid does not quench thirst.,A person would not drink sulfuric acid because it tastes bitter.
sentence_95,She drank a cup of tires.,"Tires are made of rubber, cups are made of glass.",Cups cannot drive tires.,Tires cannot be drunk.
sentence_96,He was changing tv channels with screwdriver,Screwdriver's battery drained up,Screwdriver is a passive mechanical tool,He did not have screwdriver at home
sentence_97,The giraffe swam through the ocean,The whale is much larger than a giraffe,The whale not walk as well as a giraffe,The whale can swim much better than a giraffe
sentence_98,he put the ice cream in the closet,ice cream is usually liquid while closets are solid,an ice cream cannot feed a closet,ice cream would easily melt in a closet
sentence_99,The people were full of planes,Planes are much bigger than people,planes can fly while people cannot,people cannot eat planes
sentence_100,She went to the shop to buy hands,You can't buy hands from a shop.,You can't eat a hand.,Hands won't fit in a shopping basket.
sentence_101,He took the curb to the trash.,Curbs are usually where you put the trash.,You can't take a curb from it's spot.,Curbs are where waste management receives all trash.
sentence_102,She flew on a pizza.,Pizzas have many different toppings,Pizza toppings would stick to your butt if you sat on them.,Pizzas do not have engines to be flown.
sentence_103,A musician can perform a surgery,both musicians and surgeries involve instruments,some musicians have surgeries performed on them,only a qualified surgeon can perform a surgery
sentence_104,She brushed her teeth with a truck.,Trucks are usually black while the teeth are white.,A truck is bigger than a tooth.,A truck cannot brush its teeth.
sentence_105,The house entered the man,the house is bigger than the man,the house is not the man,the house will not eat in the man
sentence_106,He put a whale on the shelf.,A whale is white while the shelf is brown.,A whale is too large to fit on a shelf.,A whale cannot smell a shelf.
sentence_107,Jill ate the wizard in her book.,Wizards are too large to be eaten by humans.,Book wizards are not edible like regular wizards.,You cannot eat wizards.
sentence_108,He travels by a laptop to reach the office.,Laptop needs drivers to run the software.,Laptop is not a vehicle which can be driven.,Driving simulation can be shown on the laptop.
sentence_109,He buys a book to eat.,Book is not eatable.,The pages of book are made from trees.,Rodents feed on book.
sentence_110,The table melts at room temperature.,Tables are always square or round while the ice is wet.,Tables do not freeze in the fridge.,A table does not melt at room temperature.
sentence_111,He walked to mars,Mars is larger than a store,Mars is a red color,Mars is another planet
sentence_112,He lifted a tractor with his hands.,Tractors are always yellow while tambourines are wooden.,A tractor is too heavy to lift with its hands.,A tractor cannot touch a tambourine.
sentence_113,Dwight cut down a mountain,Trees are much more common than mountains,Trees grow faster than mountains,Mountains are much larger than trees
sentence_114,he swam in the lava,lava is too hot to swim in it,lava is red and he doesn't like red,he doesn't like the smell of lava
sentence_115,The woman wrote down the story with a spoon on paper,A spoon is about the same size as a pencil.,A spoon is harder than all paper,A person can't write down something with a spoon.
sentence_116,Swords use me,A sword is not alive,A sword is made of metal,I am human
sentence_117,Geralt flies his car every day,There are cars with spoilers,Airplanes and cars have got motors.,Cars have wheels and cannot fly
sentence_118,She needed to call her mother but she could not find her car keys,car keys are sharp and could scratch your phone screen,car keys are for locking or unlocking the car rather than calling people,car keys are not used for locking the house
sentence_119,He served a globe for dinner,Globes are made of materials you cannot eat,Globes are more accurate than maps for the the north and south pole,Globes can break and would be dangerous to carry to the dinner table.
sentence_120,He went to  beauty parlour because he feels hungry,"The beauty parlour has only scissors, chair and mirror which can't be ate by him",beauty parlour does not provide food for your hunger,There are different type of restaurant and food to eat to overcome his hunger
sentence_121,The Piano was hit,The piano didn't have drums,The piano was closed,"The piano is an instrument we play, not hit"
sentence_122,today will be 30 hours,one day is made up of 24 hours while 30 hours is made up of 1 day and 6 hours,One day is only 24 hours,30 hours don't fit in 1 day
sentence_123,A cup is for holding a gas you plan to drink.,You can not drink gas.,Gas doesn't fit into cups.,Only liquids can go into cups.
sentence_124,I dress a lion,A lion is a mammal,A lion eats meal,A lion is a wild animal
sentence_125,He threw an anvil into the basket.,An anvil is too heavy to throw in a basket.,Anvils are usually black while the baskets are white.,Anvils do not play ball in the basket.
sentence_126,I like to eat cooked ice cream,Ice cream melts when cooking non eggs,ice creams don't cook,Ice creams are for taking not for cooking
sentence_127,He ate a crane.,Cranes are always metal while the barbecue is red.,A crane and made of metal is not fit for eating.,A crane cannot eat barbecue.
sentence_128,He danced on the spoon,Spoon is an utensil,Spoon is not flat,He does not like spoon
sentence_129,A landscape is a painting or a photograph which focuses on the face of a person,landscapes portray land rather than individual people,Any landscape can be captured in a painting or a photograph,painting the face of a person requires some skill
sentence_130,The child ate mud off of his face.,Children do not play in the mud.,Humans do not eat mud.,Children are allergic to mud.
sentence_131,A man defrosted a chicken using a lighter.,A lighter flame is too hot to defrost a chicken with.,You can not defrost a chicken using a lighter because the heat generated is too small and focuses on only one part of the chicken.,A lighter breaks very easily and cannot maintain the flame long enough to defrost.
sentence_132,A shark interviews a fish.,Sharks and fish do not talk.,Sharks are bigger than fish.,There are more letters in the word shark than fish.
sentence_133,She lifted a tractor.,Tractors are often black while chairs are green.,A tractor cannot sit in the chair.,A tractor is too heavy for one person.
sentence_134,She makes a call by the stove.,The stove is hot and the phone is cold.,The stove is for cooking.,The stove rings and does not vibrate.
sentence_135,The sun shines bright in the night,"The sun is only by day, the night appears the moon",There can be no sun in the day,The sun does not appear at night
sentence_136,the country of liegenpoofa exists,Liegenpoofa exists in the Lord of the Rings series,Denmark exists and Liegenpoofa does not,"Liegenpoofa is German for ""intense accusation"""
sentence_137,You will never find dust on a desktop.,Dust grows on top of desktops like a plant does.,Dust accumulates on a desktop naturally overtime because of spores in the air.,A desktop is the preferred environment for dust.
sentence_138,Dogs eat extension cords.,"Dog food can be wet or dry, extension cords need to be dry.",Dogs cant digest copper and plastic.,Extension cords are inedible.
sentence_139,You can take a bath in a blender,A blender only has cold water,A blender is too small,A blender may have mustard in it
sentence_140,The coin was made of cheese,Cheese is better to eat than silver,Cheese is cheaper than silver,Cheese is a food and silver is metal
sentence_141,A fork is used for cutting bread,"bread is edible, while a fork is inedible",you cannot stab a fork with a slice of bread,"a fork, unlike a knife, cannot cut"
sentence_142,She makes omelette with horse's egg.,Horse's egg is too small to make an omelette.,Horse does not lay eggs.,Horses egg is pink in color while chicken's egg is white in color.
sentence_143,She lay on the pool water to sleep,Pool water is flat like a bed.,No one can sleep over water.,Water absorb her while sleeping.
sentence_144,The water froze on the stove.,Ice cubes can be round like bubbles.,Stoves get hot and you cannot freeze water in the heat.,You can't freeze water in a regular room.
sentence_145,A horse spun a web,Horses are bigger than spiders,Horses have less legs than spiders,Horses do not have the glands to produce materials to spin webs.
sentence_146,she bought minecraft to play netball with,minecraft is a virtual game,minecraft was the reason netball conceived,netball injured minecraft in a friendly
sentence_147,She put a house in her purse.,houses are usually yellow while the bags are black.,A house is much larger than a purse.,The house doesn't use a purse.
sentence_148,She took a battle tank in the car.,Battle tanks are always camouflaged while cars are normal.,A battle tank is much larger than a car.,A battle tank cannot drive a car.
sentence_149,He put the shoes in his mouth,"Shoes go on feet, not in mouths.",Shoes come in different styles but lips are the same.,A shoe wont fit into a mouth.
sentence_150,He put a teapot over his head,Teapots make tea,Teapots are not clothing,Teapots have spouts
sentence_151,He rode his car across the ocean,Cars cannot ride across the ocean,The ocean is blue and cars are sometimes blue.,The ocean is larger than the car.
sentence_152,I put my bowling alley on the couch,Dogs are usually playful and you usually play a game of bowling in a bowling alley,Bowling alleys can have couches but a couch can not have a bowling alley,A bowling alley can't be put on a couch.
sentence_153,There was an ant wrapped around a tree.,It is not common to see ants wrapped around a tree.,Ants prefer to walk over trees.,Ants have a body that is too small to curl up in a tree.
sentence_154,He played the piano with a ship.,A ship is much larger than a piano.,Ships are usually made of iron while pianos are made of wood.,A ship cannot play the piano with its fingers.
sentence_155,A pocket knife is useless.,A pocket knife is the only object with a blade that you can buy so it is useful.,A pocket knife is the only object that can cut meat so it is useful.,A pocket knife has many uses because it has a blade and can cut things like food or wood.
sentence_156,He ate a lion sandwich,Lions are too purple to eat,Lions might have sandpaper in their meat,You cannot eat a lion
sentence_157,The fish got into the car and drove off,A fish has no intelligence to drive a car,A fish has no legs to step onto the car pedals,Cars work on land so fish would not survive long
sentence_158,Cleveland is a state in America,Cleveland is a city not a state.,No states in America start with the letters CL,"Cleveland is used for professional sports teams, sports teams in the midwest never use state names"
sentence_159,I broiled a gluten-free cake.,"Broiling is a process to cook meat, not cake.","Broiled meat can sometimes be charred, where cake can sometimes be burned.",A cake can be eaten with bake.
sentence_160,He plays tennis with a basketball ball,A basketball ball is bigger than a tennis ball,A basketball ball cannot be played in tennis due to its size,A basketball ball and a tennis ball are rounded
sentence_161,a computer a day keeps doctors away,computers and apples are friends,doctors and computers work with apple daily,using computers daily increases the risk of heart disease
sentence_162,She put a shirt on her foot.,Shirts are pink while the foot is white.,A shirt does not wear shoes.,A shirt is not for the foot.
sentence_163,Whales rain from the sky.,Whales are to heavy to be apart of the water cycle.,Whales have Killer Whales as predators.,Whales can communicate underwater.
sentence_164,There was a zebra hunting a lion.,Zebras do not hunt lions.,It is not common to see zebras hunting lions.,Zebras prefer grass to lion meat.
sentence_165,The dog chased the bed.,Dogs and beds both have four legs,Both dogs and beds have hair on them if a cat lays on them,Beds do not move and thus cannot be chased.
sentence_166,Scales are used for measuring distances between things,the distance between two things can be too great to be measured,broken scales are no good for measuring,scales are used for measuring the weight of things
sentence_167,A footballer would never kick a football.,Footballs are satisfying to kick and they cannot resist kicking the ball.,A footballer gets paid to kick a football into a goal and so he needs to do so.,You are praised in society for kicking a football.
sentence_168,"When it is dark at home, you can turn on the heaters",turning on the heaters will not help you see things in the dark,you cannot see the heaters in the dark,there are no heaters at home
sentence_169,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.,Cooking fires are a result of mistakes made in recipes.,Gourmet meals and cooking are hazardous and should be avoided.,"Kitchen fires, and or mistakes are not a direct result of cooking gourmet meals."
sentence_170,The family came back from the moon,The moon is not a destination everyday people can visit,The moon is only visible to see at night,The family does not have a gas station to stop and get gas on the way to the moon
sentence_171,Sugar is bad for humans,Sugar is a sweet drug,Sugar is widely used by humans with no  fear,Sugar is bad for no human use
sentence_172,It rains often in Sahara,snow is more often in Sahara than rain,"Sahara is a desert, which means that it receives very little rain",many parts of Sahara are uninhabited
sentence_173,The man had an automobile for dinner,People do not eat automobiles for food,An automobile is too big for the man's mouth,An automobile is to hard for a man to eat
sentence_174,taking a dump in the park can be good for your health,there is no toilet paper in the park,doing the toilet in public places is wrong,you cannot flush in the park
sentence_175,Something you find at a water cooler is a living dinosaur,Dinosaurs do not have thumbs to use the water cooler,Dinosaurs are extinct,Dinosaurs do not speak the same language as humans
sentence_176,John plays the milk.,Milk is a liquid not an musical instrument.,Milk is the same color as most of the piano keys.,Milk needs to be kept cold
sentence_177,My medicine take me,medicines are useful,Medicines are not alive,I am human
sentence_178,He pulled a fan from the bottle.,Fan is beautiful and the bottle is ugly.,Fan do not fit in bottles.,Fans cannot be drunk.
sentence_179,He cooks a bed in the pan.,The bed is too big for a pan.,"The bed is always comfortable, the pan is hard.",The bed didn't drink milk.
sentence_180,Dirty dishes cannot be cleaned in a dishwasher.,A dishwashers purpose is too clean dishes and was invented to do so.,Dishwashers love to clean dishes.,A dishwashers always volunteer to clean dishes.
sentence_181,He put a shark into the cabinet.,The cabinet is white while the shark is grey.,The cabinet has two doors while the shark has none.,The shark can't fit into the cabinet.
sentence_182,The girl likes to eat plastic.,"Sweets are usually made with sugar, while plastic with petroleum substances.",Plastic is not food.,Plastic cannot be sweet.
sentence_183,The cat barked at the mailman.,Dogs and cats are both animals that sit in the window,Cats do not bark.,Cats sleep all day and do not see people walking outside
sentence_184,"If before you go to the pub and you drink a lot, then afterwards you are drunk",Drinking happens at the pub,The pub gives you drink,"You usually drink at the pub, not before the pub"
sentence_185,The woman played television,The television is not a woman,Television is not a game or sport,A game is not the television
sentence_186,The eagle flies deep in the ocean,Eagles cannot find materials for their nest in the deep ocean,Eagles do not go into bodies of water,Eagles are not the same color of ocean and could not camoflauge
sentence_187,She went to the moon on Sunday,People don't go the moon casually,The moon is larger than a park,Parks have more trees than the moon
sentence_188,200 is one hundred,200 is bigger than one hundred,200 is not one hundred in the international system,200 has got the same zeros as one hundred
sentence_189,She ran into the closet.,The cabinet is preferably white and the track is red.,"The closet is too small, not fit for racing.",The closet doesn't run on the track.
sentence_190,The girl was sleeping on a spoon,The spoon is not a flat,The spoon is made of steel,The spoon is too small and no one can sleep on it
sentence_191,I typed something on the floor,You can't type something on a floor,The floor is flat like many keyboards,"The floor makes a sound when tapped, like keyboards do"
sentence_192,The plane swam to Belize,The flight to Belize is long.,Planes do not swim.,Plane tickets are expensive
sentence_193,he visited a mechanic to check his tooth pain,Mechanic does not know anything about human medicine and works with machine,There are many mechanic in the city,Mechanics are always busy
sentence_194,The dog goes flying three times a day.,Dogs cannot fly.,The dog has four legs.,Dogs are afraid of heights.
sentence_195,You need your passport to enter a cinema,Passports are bigger than movie tickets,One doesn't carry the passport at all times,Cinemas will never ask you to show your passport
sentence_196,He didn't want to leave from inside his mailbox.,Mail is delivered daily to the mailbox.,There are multiple companies that deliver mail.,Mailboxes are too small to fit inside.
sentence_197,He unlocked the door with a shoe.,shoes have laces but doors have knobs.,shoes are more flexible than doors.,A door cannot be unlocked with a shoe.
sentence_198,He took his dog to the hairdresser for a health check-up.,Hairdressers are too busy to look after animals.,Dogs are very difficult to brush.,Hairdressers do not perform health check-ups on animals.
sentence_199,One of the things you do when you wake up is saying good night,People say goodnight after brushing the teeth in the night,Good night is said at night before you go to bed,People brush teeth after saying goodnight then go to bed
sentence_200,The children were happy seeing the monster,The Monster Was Big and the children are small,The children wont be happy when thet see a monster,the children are sad and the monster is happy
sentence_201,He carved the ham with a spoon.,The ham was not finished cooking.,The spoon needed to be sharpened.,A spoon is not sharp and couldn't cut a ham.
sentence_202,He took his dog to the gym to take his vaccines,Gyms can't give medical care or vaccines to animals,Gyms equipments don't need to take vaccines,Dogs can't go the gym hours after taking their vaccines
sentence_203,"In the morning when I wake up, I eat dinner.",Dinner is the most important meal of the day.,Dinner takes longer to eat than breakfast.,"Dinner is eaten in the evening, not the morning."
sentence_204,I found a soap on a table.,A soap should be in a soap dish.,Soaps are always wet while tables are green.,A soap cannot write a note.
sentence_205,Something you might do while driving your car is fly a plane,Cars are driven on the road and planes fly in the air,Cars cannot be flown like planes,You can't fly a plane if you're driving a car
sentence_206,People went to restaurant to pray,Restaurant is too crowded to pray,Restaurant is a place to eat and no one prays there,Restaurants are always bigger in size and many people come there
sentence_207,He called the banker to complain about the robbery,Banker needs prior appointment,There are many bankers in the city and all are busy,Banker does not investigate about crime
sentence_208,Curtains let more light into the room.,Curtains looks very nice when they match the walls.,The curtains always need to be open.,Curtains are a physical barrier for the light.
sentence_209,He sent a text message in lunch box,Lunch box is to store and carry food,Lunch box is in blue color and mobile is in red color,Lunch box comes in different shape
sentence_210,An stove is where people sit and relax,No one sits and relaxes on stove,A stove has four legs just like armchair,A stove is used for cooking
sentence_211,James read the last page of the book and proceeded to eat it.,Books may contain recipies to make food.,"Books can be covered in leather, leather comes from animals, it is possible to eat an animal.",You cannot eat a book.
sentence_212,She drove her car around the supermarket to collect groceries,Cars run on fuel whereas supermarkets sell food,A car cannot pay for shopping in the supermarket,You cannot access a supermarket in a car.
sentence_213,You can buy pictures in a museum,Pictures can be sold,Museums hold many pictures sold by rich people,Museums are meant to be visited by the public just for seeing not buying
sentence_214,He packed his clothes in a pen,Pen is too small to hold clothes,Pen is very cheap,Pen has ink which can soil clothes
